 0003  Porvoon Liikenne Oy                      
 0004  A.E.Koskinen & Pojat Oy                  
 0006  Oy Pohjolan  Liikenne Ab                 
 0007  Sipoon Linja Oy                          
 0010  Oy Liikenne Ab                           
 0012  Helsingin Bussiliikenne Oy               
 0017  Tammelundin Liikenne Oy                  
 0018  Oy Pohjolan Kaupunkiliikenne Ab          
 0019  Etelä-Suomen Linjaliikenne Oy            
 0020  Bus Travel Åbergin Linja Oy              
 0022  Nobina Finland  Oy                       
 0023  HKL-Bussiliikenne                        
 0024  Westendin Linja Oy                       
 0025  Laajasalon Liikenne Ky                   
 0026  Pääkaupunkiseudun Linjaliikenne Oy       
 0027  Bus Travel Åbergin Linja Oy              
 0028  Transdev Espoo Oy                        
 0029  Keskuslinja Oy                           
 0035  Oy Andersson Ab                          
 0036  Nurmijärven Linja Oy                     
 0040  HKL-Raitioliikenne                       
 0043  Porvoon Liikenne Oy / Lähilinjat         
 0044  Connex Helsinki Oy                       
 0045  Transdev Vantaa Oy                       
 0046  Vantaan Taksi Oy                         
 0047  Taksikuljetus Oy                         
 0049  Juhan Taksi Oy                           
 0050  HKL-Metroliikenne                        
 0051  Korsisaari Oy                            
 0052  Sopari Oy                                
 0054  V-S Bussipalvelut Oy                     
 0055  Transdev Helsinki Oy                     
 0057  Rapiditaxi Oy                            
 0058  Koillisen Liikennepalvelut Oy            
 0059  Tilausliikenne Nikkanen Helsinki Oy      
 0060  Suomenlinnan Liikenne Oy                 
 0090  VR Oy                                    
 0100  Oy Pohjolan Liikenne Ab (U)              
 0103  Etelä-Suomen Linjaliikenne Oy (U)        
 0105  Korsisaari Oy (U)                        
 0107  Linjaliikenne Kivistö Oy (U)             
 0108  Porvoon Liikenne Oy (U)                  
 0110  Ventoniemi Oy (U)                        
 0111  Keravan Taksi ry (U)                     
 0112  Yhdysliikenne Oy (U)                     
 0113  Linja-autoliikenne M. Tervo Oy (U)       
 0114  Vainion Liikenne (U)                     
 0116  Amperin Linja-autoliikenne Oy (U)        
 0117  Wikströmin Linja-Autoliikenne (U)        
 0118  Pukkilan Liikenne Oy (U)                 
 0119  ML-Charter Oy (U)                        
 0121  Pohjolan Matka (U)                       
 0122  Liikenne Seppälä Oy (U)                  
 0123  Kasilinja Oy (U)                         
 0198  Testiliikenn B                           
 0199  Testiliikennöitsijä A                    
