 KA    Kesä, aikataulukirjoissa                                                                             
 KAN   Kesä, aikataulukirjoissa ja nettiaikatauluissa                                                       
 KAP   Kesä, aikataulukirjoissa ja puhelinneuvonnassa                                                       
 KAPN  Kesä, aikataulukirjoissa, puhelinneuvonnassa ja nettiaikatauluissa                                   
 KAPY  Kesä, aikataulukirjoissa, puhelinneuvonnassa ja yleisöaikatauluissa                                  
 KAPYN Kesä, aikataulukirjoissa, puhelinneuvonnassa, yleisöaikatauluissa ja nettiaikatauluissa              
 KAY   Kesä, aikataulukirjoissa ja yleisöaikatauluissa                                                      
 KAYN  Kesä, aikataulukirjoissa, yleisöaikatauluissa ja nettiaikatauluissa                                  
 KN    Kesä, nettiaikatauluissa                                                                             
 KP    Kesä, puhelinneuvonnassa                                                                             
 KPN   Kesä, puhelinneuvonnassa ja nettiaikatauluissa                                                       
 KPY   Kesä, puhelinneuvonnassa ja yleisöaikatauluissa                                                      
 KPYN  Kesä, puhelinneuvonnassa, yleisöaikatauluissa ja nettiaikatauluissa                                  
 KY    Kesä, yleisöaikatauluissa                                                                            
 TA    Talvi, aikataulukirjoissa                                                                            
 TAN   Talvi, aikataulukirjoissa ja nettiaikatauluissa                                                      
 TAP   Talvi, aikataulukirjoissa ja puhelinneuvonnassa                                                      
 TAPN  Talvi, aikataulukirjoissa, puhelinneuvonnassa ja nettiaikatauluissa                                  
 TAPY  Talvi, aikataulukirjoissa, puhelinneuvonnassa ja yleisöaikatauluissa                                 
 TAPYN Talvi, aikataulukirjoissa, puhelinneuvonnassa, yleisöaikatauluissa ja nettiaikatauluissa             
 TAY   Talvi, aikataulukirjoissa ja yleisöaikatauluissa                                                     
 TAYN  Talvi, aikataulukirjoissa, yleisöaikatauluissa ja nettiaikatauluissa                                 
 TN    Talvi, nettiaikatauluissa                                                                            
 TP    Talvi, puhelinneuvonnassa                                                                            
 TPN   Talvi, puhelinneuvonnassa ja nettiaikatauluissa                                                      
 TPY   Talvi, puhelinneuvonnassa ja yleisöaikatauluissa                                                     
 TPYN  Talvi, puhelinneuvonnassa, yleisöaikatauluissa ja nettiaikatauluissa                                 
 TY    Talvi, yleisöaikatauluissa                                                                           
 TYN   Talvi, yleisöaikatauluissa ja nettiaikatauluissa                                                     
 VA    Koko vuosi, aikataulukirjoissa                                                                       
 VAN   Koko vuosi, aikataulukirjoissa ja nettiaikatauluissa                                                 
 VAP   Koko vuosi, aikataulukirjoissa ja puhelinneuvonnassa                                                 
 VAPN  Koko vuosi, aikataulukirjoissa, puhelinneuvonnassa ja nettiaikatauluissa                             
 VAPY  Koko vuosi, aikataulukirjoissa, puhelinneuvonnassa ja yleisöaikatauluissa                            
 VAPYN Koko vuosi, aikataulukirjoissa, puhelinneuvonnassa, yleisöaikatauluissa ja nettiaikatauluissa        
 VAY   Koko vuosi, aikataulukirjoissa ja yleisöaikatauluissa                                                
 VAYN  Koko vuosi, aikataulukirjoissa, yleisöaikatauluissa ja nettiaikatauluissa                            
 VN    Koko vuosi, nettiaikatauluissa                                                                       
 VP    Koko vuosi, puhelinneuvonnassa                                                                       
 VPN   Koko vuosi, puhelinneuvonnassa ja nettiaikatauluissa                                                 
 VPY   Koko vuosi, puhelinneuvonnassa ja yleisöaikatauluissa                                                
 VPYN  Koko vuosi, puhelinneuvonnassa, yleisöaikatauluissa ja nettiaikatauluissa                            
 VY    Koko vuosi, yleisöaikatauluissa                                                                      
 VYN   Koko vuosi, yleisöaikatauluissa ja nettiaikatauluissa                                                
